,recipe_id,step,description
2493,1701,4,Divide the mixture into 8 equal portions and roll each portion into a 50 mm. (2”) diameter round flat tikki.
2494,1701,5,"Heat a non-stick tava (griddle), grease it with a little oil, place the tikkis on it and cook on a medium flame, using a little oil till they turn golden brown in colour from both the sides. Keep aside."
2495,1706,1,Heat the rava in a broad non-stick pan and dry roast on a medium flame for 4 minutes. Keep aside.
2496,1706,2,Combine the sugar and 2½ cups of water in a deep non-stick pan and boil on a medium flame for 2 minutes or till the sugar dissolves.
2497,1706,3,"Add the saffron, raisins, cashewnuts and food colour, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
2498,1706,4,"Add the rava gradually and cardamom powder and keep mixing it with a whisk and cook on a medium flame for 3 to 4 minutes, while stirring continuously. Add the ghee and mix well. Keep aside."
2499,1708,1,"Place one asparagus mousse piece on a cream cracker, top with some sour cream."
2500,1708,2,Serve immediately along with Tabasco or Capsico Sauce.  
2501,1710,1,Cut each burger horizontally into 2 equal halves.
2502,1710,2,Apply a little butter on all the bun halves and bake in a pre-heated oven at 200°c (400°f) for 5 to 7 minutes.
2503,1710,3,"Place the baked bun halves on a clean, dry surface with the buttered side facing up."
2504,1710,4,Spread a portion of the prepared chunky vegetable spread over each bun halve.
2505,1710,5,"Finally top each burger with ½ tbsp of mozzarella cheese and bake in a pre-heated oven at 200°c (400°f) for 5 to 7 minutes, till the cheese melts."
2506,1710,6,Garnish with a sprig of parsley and serve immediately.
2507,1713,1,It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.
2508,1720,1,"At step 5, use a piping bag made of cloth instead of plastic as plastic bag might tear while piping out churros."
2509,1723,1,"Place 2 bread slices on a clean, dry surface, spread ½ tsp of butter on each bread slice and spread it evenly."
2510,1723,2,"Spread ½ tsp of green chutney on each bread slice and spread it evenly. Sprinkle a little chaat masala evenly over both the buttered-chutney bread slices, finally cover with a buttered-chutney side facing downwards and press it lightly."
2511,1723,3,Repeat steps 1 and 2 to make 9 more sandwiches.
2512,1723,4,Cut each sandwich diagonally into 2 portions and serve.
2513,1727,1,Put the butter in a deep bowl and beat it using a spatula.
2514,1727,2,Add the icing sugar and cinnamon powder and mix well. Keep aside.
2515,1736,1,"Whole wheat pasta is nutrient and fibre rich, however (if you do not find whole wheat pasta replace it with macaroni). Vegetables and fruits added along with it balances the nutrient quotient of this salad."
2516,1742,1,This recipe doesn’t turn out good in a juicer because the texture of ingredients like carrots is very hard.
2517,1749,1,It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.
2529,1753,1,Apply little chutney on all the toasted bread slices and keep aside.
2530,1753,2,"Place a toasted bread slice on a flat dry surface, put one chila on it. Cover with another toasted bread slice with the chutney side facing up."
2531,1753,3,"Place a lettuce leaf, 4 slices cucumber and 4 slices of tomatoes on it and cover with the third toasted bread slice."
2532,1753,4,Repeat with the remaining ingredients to make 1 more sandwich.
2533,1753,5,Cut each sandwich into 4 equal portions and serve immediately.
2534,1754,1,Apply ¼ tsp of butter and ½ tsp of chutney on all the toasted bread slices and keep aside.
2535,1754,2,Place a toasted bread slice on a flat dry surface (with the chutney side facing up) and place a chila over it.
2536,1754,3,Top with another toasted bread slice with the chutney side facing up.
2537,1754,4,"Place a lettuce leaf, 4 slices of cucumber and 4 slices of tomatoes over it and top with another toasted bread slice (with the chutney side facing down)."
2538,1754,5,Repeat with the remaining ingredients to make one more sandwich.
2539,1754,6,Cut each sandwich into 4 equal portions and serve immediately.
2540,1756,1,Blend all the ingredients till smooth.
2541,1756,2,Add some crushed ice in 2 glasses and pour the juice over it. Serve immediately.
2542,1757,1,"When pineapple is not season, you can use tinned pineapple slices and omit the sugar syrup since tinned apple is already sweet."
2543,1758,1,"Combine the butter, sugar, cocoa powder and milk in a broad non-stick pan and cook on a medium flame for 1 minute, while stirring continuously."
2544,1758,2,Add the vanilla essence and mix well. Keep aside.
2545,1761,1,"Heat ½ tsp of ghee in a non-stick pan, add the paneer and sauté on a medium flame till all the moisture evaporates and paneer becomes dry. Keep aside to cool."
2546,1761,2,"Heat the remaining ½ tsp of ghee in the same pan, add the coconut and sauté on a medium flame till it turns light pink in colour. Keep aside to cool."
2547,1761,3,"Add the paneer, powdered nuts, sugar and cardamom powder and mix well. Divide it into 6 equal portions and keep aside."
2548,1763,1,These ladoos stay fresh in an air-tight container for a week at room temperature.
2549,1767,1,"To make 1 cup cooked barley – bring enough water to boil, add ½ cup barley and cook on a medium flame for 5 to 7 minutes. Drain and keep aside"
2550,1773,1,Peanut butter is mixed with little water to make a consistency little thin so it is easy to pipe out.
2551,1776,1,"In a big mixer jar, add the grated coconut. You can use fresh or frozen coconut. Also, for easy grinding we have taken grated coconut but, if you are lazy then you can put roughly chopped coconut and pulse it more. Many people even use coconut powder or dessicated coconut, if doing so then make use of warm water while grinding."
2552,1776,2,"Add roughly chopped small green chillies. If you like your South-Indian coconut chutney spicy, then simply increase the quantity of chilies."
2553,1776,3,Add grated ginger to the mixer jar. Adrak can be skipped or substituted with garlic.
2554,1776,4,"Now add 1 tbsp of roasted chana dal. If chana dal is not available, then you can skip adding it. The nariyal ki chatni will taste equally delicious without it."
2555,1776,5,Add salt to taste.
2556,1776,6,Add approximately 1/2 cup of water and blend. We have added a little more then half cup.
2557,1776,7,Grind to make a fine paste. It looks like this! If you like a liquidy coconut chutney then increase the quantity of water.
2558,1776,8,Transfer the chutney into a bowl.
2559,1777,1,"In a mixer jar, add the grated coconut. You can use fresh or frozen coconut. Many people prefer using the white meat of the coconut and remove the outer brown skin. That totally depends upon you."
2560,1777,2,"For a green version of coconut chutney, we will add a handful of coriander."
2561,1777,3,Now add 3 tbsp of roasted chana dal. You can use roasted peanuts instead of chana dal.
2562,1777,4,Add roughly chopped green chillies. Increase or decrease the amount of chilies to make a hotter or milder chutney.
2563,1777,5,"Add 4 curry leaves. Kadi Patta provides a unique flavour to the coconut chutney. You can even add onion, garlic or ginger to enhance the flavour of this chutney."
2564,1777,6,Add salt to taste.
2565,1777,7,Using around 3/4 cup of water blend the green coconut chutney.
2566,1777,8,"After grinding to a fine paste, it will look like this!"
2567,1777,9,Transfer the chutney into a bowl.
2568,1779,1,"Take a mixer jar and add the grated coconut to it. Coconut is the main essence of this chutney, in fact, most South Indian chutneys. It gives the necessary texture and thickness to the chutney. Always use freshly grated coconut for best results."
2569,1779,2,"Add shredded spinach to it. You can chop it as well. If you are in a hurry and don’t have spinach in your pantry, just increase the quantity of coriander. They provide the additional bright green color to the green chutney recipe."
2570,1779,3,Add the coriander. Rinse it in water and chop it before adding to the mixer jar. This ingredient is a must to the necessary green colour of the chutney.
2571,1779,4,Add roasted chana dal. Most vendors term it is as daria. This is necessary to lend thickness and bind the chutney well.
2572,1779,5,Add the green chillies. Wash them before chopping and adding to the jar. This can be adjusted as per your taste preference.
2573,1779,6,Then peel and roughly chop the garlic and add it to the jar.Add freshly chopped garlic rather than garlic paste.
2574,1779,7,Finally add salt as per your taste.
2575,1779,8,Add 4 tbsp of water and close the lid of the jar.
2576,1779,9,Grind till smooth.
2577,1779,10,Remove the chutney from the jar and serve or use as required. Ensure you keep it refrigerated till use. 
2578,1779,11,Spread on a sada dosa to make Green Mysore Dosa.
2579,1781,1,Combine the kashmiri chillies and garlic with 2 tbsp water in a mixer and blend to a smooth paste. Keep aside.
2580,1781,2,"Heat the oil in a deep non-stick pan, add the onions and sauté on a medium flame for 1 minute."
2581,1781,3,Add the prepared chilli-garlic paste and sauté on a medium flame for 2 minutes.
2582,1781,4,"Add the tomatoes, mix well and cook on a medium flame for 3 minutes, while stirring occasionally."
2583,1781,5,"Add the mixed vegetables, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
2584,1781,6,"Add the coconut milk, sugar, salt and ¼ cup of water, mix well and cook on a medium flame for 4 minutes, while stirring occasionally."
2585,1790,1,These laddoos stay fresh in an air-tight container for a week at room temperature.
2586,1798,1,Put the milk in a broad vessel and boil.
2587,1798,2,"Add the sugar and cook on a slow flame while stirring continuously, until the mixture is reduced to half."
2588,1798,3,"Add the grated apples to the milk, give one boil and remove from the heat at once. Cool and keep aside."
2589,1803,1,Combine the mango purée and rum in a bowl and mix well.
2590,1803,2,Refrigerate till use.
2591,1805,1,"Combine all the ingredients along with 2 cups of water in a deep non-stick pan, mix well and cook on a medium flame for 10 minutes, while stirring occasionally."
2592,1805,2,Strain the water using a strainer and discard the vegetables. Keep aside.
2593,1807,1,"Heat the oil in a deep non-stick kadhai, add the onions and sauté on a medium flame for 1 to 2 minutes."
2594,1807,2,Add the curry leaves and sauté on a medium flame for a few seconds.
2595,1807,3,"Add the prepared paste and 2 tbsp of water, mix well and cook on a medium flame for 2 minutes, while stirring occasionally."
2596,1807,4,"Add the chilli powder, turmeric powder, salt, tomatoes and sugar, mix well and cook on a medium flame for another 2 to 3 minutes, while mashing with the back of a spoon."
2597,1807,5,"Add the paneer cubes, ¼ cup of water and mixed vegetables, mix well and cook on a medium flame for 2 more minutes, while stirring occasionally."
2598,1807,6,Add the fresh cream and mix well.
2599,1809,1,"Place a pancake on a clean, dry surface, put 1 tbsp of the filling on one end of the circle and roll it up tightly"
2600,1809,2,Seal the edges by applying a little of the pancake mixture.
2601,1809,3,Repeat steps 1 and 2 to make 11 more rolls.
2602,1809,4,"Heat the oil in a deep non-stick kadhai and deep- fry, a few rolls at a time on a high flame, till they turn golden brown in colour from all the sides."
2603,1809,5,Drain on an absorbent paper. Cut the rolls diagonally into 2 and serve immediately with vanilla ice-cream.
2604,1819,1,"Heat the ghee in a deep non-stick pan, add the curry leaves and the prepared paste and sauté on a medium flame for 2 minutes."
2605,1819,2,Add the tomatoes and sauté on a medium flame for 2 minutes.
2606,1819,3,Add all the remaining vegetables and sauté on a medium flame for 2 more minutes.
2607,1819,4,"Add the coconut milk, salt and ½ cup of water, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
2608,1819,5,Serve hot with coconut rice.
2609,1827,1,It is highly recommended that this recipe be relished by diabetics only occasionally and in small quantities. This is just a mere ‘treat’ and does not qualify for a regular diabetic menu.
2610,1828,1,You can also melt the chocolate-milk mixture on a double-boiler.
2611,1829,1,Combine the chocolate and milk in a microwave-safe bowl and microwave on high for 50 seconds. Remove and mix well until no lumps remain.
2612,1829,2,Strain the mixture using a sieve and keep aside.
2613,1829,3,Combine the sugar and beaten whipped cream in a deep bowl and fold gently.
2614,1829,4,Add the chocolate-milk mixture and fold gently.
2615,1829,5,Add the coffee mixture and fold gently. Keep aside.
2616,1831,1,Put the butter in a bowl and beat it with the help of a spatula.
2617,1831,2,Add the icing sugar and mix well.
2618,1831,3,"Add the coffee mixture, mix well and keep aside."
2619,1840,1,"Combine 1 cup of water, 1½ tbsp of the prepared spice powder and misri in a broad non-pan, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally."
2620,1840,2,"Add the milk, mix well and cook on a medium flame for another 2 minutes, while stirring occasionally."
2621,1840,3,Strain with the help of a strainer.
2622,1840,4,Serve immediately.
2623,1842,1,"Pack the coleslaw in an air-tight tiffin box, with the khakhras in a separate air-tight box."
2624,1843,1,Cooking time may vary by 1 to 2 minutes depending on the quality of the colocassia.
2625,1846,1,"Heat the oil in a deep non-stick kadhai, add the onions and sauté on a medium flame for 2 minutes. Instead of puree, we have added onion cubes which give a nice mouthfeel to the subzi."
2626,1846,2,Add the ginger paste. It is the most essential ingredient of Indian subzis.
2627,1846,3,"Now, add the garlic paste. Though it is readily available in market, we would suggest you use fresh homemade paste only."
2628,1846,4,Add the dried fenugreek leaves and sauté on a medium flame for a few seconds.
2629,1846,5,"Add the colored capsicum, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally. Colored capsicum are rich in vitamins, antioxidants and have a low Gi. You can read more about their health benefits here."
2630,1846,6,Add the tomato pulp. We have not used of readymade tomato puree because tomatoes are a good source of lycopene & that is retained if it does not undergo any process.
2631,1846,7,"Some turmeric powder, chilli powder and garam masala, mix well and cook on a medium flame for another 3 to 4 minutes, while stirring occasionally."
2632,1846,8,"Add the paneer and salt, mix gently and cook on a medium flame for 1 more minute. To make it more healthy, you can make use of tofu."
2633,1846,9,Serve colorful bellpepper and paneer subzi immediately with roti or whole wheat paratha.
2634,1848,1,"Heat the butter in a pan, add the onions and sauté for 2 minutes."
2635,1848,2,"Add the rice, parsley and salt and toss well."
2636,1848,3,Keep aside.
2637,1859,1,Combine the hot rabdi and bread crumbs in a bowl and mix well till it thickens. Keep aside.
2638,1863,1,"After 10 months of age, the blending of recipe at step 4 can be avoided completely."
2639,1868,1,Divide the stuffing into 4 equal portions and keep aside.
2640,1868,2,Roll out a portion of the dough into a 100 mm. (4”) diameter circle using a little wheat flour.
2641,1868,3,"Place a portion of the stuffing in the centre, fold the edges towards the centre and seal well so the stuffing doesn’t spill out."
2642,1868,4,Roll out again into 125 mm. (5”) diameter circle using a little wheat flour.
2643,1868,5,"Heat a non-stick tava (griddle) and cook each roti, using a little oil, till golden brown spots appear on both the sides."
2644,1868,6,Repeat steps 2 to 5 to make 3 more rotis.
2645,1868,7,Serve immediately.
2646,1869,1,Divide the stuffing into 8 equal portions.
2647,1869,2,Divide the dough into 8 equal portions.
2648,1869,3,Roll a portion of the dough into a 150 mm. (6”) diameter circle using a little whole wheat flour for rolling. Brush little oil evenly over it.
2649,1869,4,Sprinkle a portion of the stuffing evenly over it.
2650,1869,5,Roll it up tightly from one end to another end.
2651,1869,6,Roll it over again from one end to the other end to form a swiss roll and seal the open end tightly at the bottom in the centre.
2652,1869,7,Turnover the swiss roll so that the sealed side faces upwards and again gently roll into a 150 mm. (6”) diameter circle using a little whole wheat flour for rolling.
2653,1869,8,"Heat a non-stick tava (griddle) and cook the roti, using a little oil, till golden brown spots appear on both the sides."
2654,1869,9,Repeat steps 3 to 8 to make 7 more rotis.
2655,1869,10,Serve immediately.
2656,1870,1,Divide the stuffing into 6 equal portions.
2657,1870,2,Brush each dough round with a little oil and spread one stuffing portion on it.
2658,1870,3,Roll out into a cigar shape.
2659,1870,4,Make a small round like a coil and press lightly by hand.
2660,1870,5,Roll out again into a thick roti.
2661,1870,6,Repeat for the remaining dough and stuffing to make 5 more rotis.
2662,1870,7,Cook on a hot tawa (griddle) until pink spots appear on both the sides.
2663,1870,8,Brush a little oil on top and serve hot.
2664,1871,1,"Cool slightly, wrap in an aluminium foil and pack in a tiffin box."
2665,1875,1,Divide the topping into 8 equal portions. Keep aside.
2666,1875,2,Cut each hot dog roll horizontally into two halves. Brush both the sides with little butter and keep aside.
2667,1875,3,Bake the brushed hot dog rolls in a pre-heated oven at 200°c (400°f) for 10 minutes.
2668,1875,4,"Place them on a clean, dry surface, spread a portion of the prepared topping on each toasted hot dog roll halve."
2669,1875,5,Finally sprinkle a little spring onion greens over them and serve immediately.
2670,1876,1,"Heat the butter in a deep non-stick pan, add the onions and celery and sauté on a medium flame for 2 minutes."
2671,1876,2,"Add the plain flour, mix well and cook on a slow flame for 1 minute, while stirring continuously."
2672,1876,3,"Add the white stock and milk, mix well and cook on a medium flame for  5 minutes, while stirring continuously."
2673,1876,4,"Add the corn, salt and pepper, mix well and cook on a medium flame for 4 minutes, while stirring occasionally."
2674,1876,5,Serve hot garnished with celery and cheese.
2675,1877,1,Divide the stuffing into 8 equal portions and keep aside.
2676,1877,2,Divide the dough into 8 equal portions.
2677,1877,3,"Roll each portion of the dough into a 150 mm. (6"") diameter circle using a little whole wheat flour for rolling."
2678,1877,4,Place 1 portion of the stuffing on one half of the tortilla and fold it over to make a semi-circle and press it lightly to seal the edges.
2679,1877,5,"Heat a non-stick tava (griddle) and cook the quesadilla, using a little oil, till it turns golden brown in colour from both the sides."
2680,1877,6,Repeat steps 2 to 4 to make 7 more quesadillas.
2681,1877,7,Serve immediately.
2682,1878,1,Divide the stuffing into 8 equal portions and keep aside.
2683,1878,2,Divide the dough into 8 equal portions.
2684,1878,3,"Roll each portion of the dough into a 150 mm. (6"") diameter circle using a little whole wheat flour for rolling."
2685,1878,4,Place 1 portion of the stuffing on one half of the tortilla and fold it over to make a semi-circle and press it lightly to seal the edges.
2686,1878,5,"Heat a non-stick tava (griddle) and cook the quesadilla, using a little oil, till it turns golden brown in colour from both the sides."
2687,1878,6,Repeat steps 2 to 4 to make 7 more quesadillas.
2688,1878,7,Serve immediately.
2689,1880,1,Heat the oil in a non-stick pan and add the onions and sweet corn and sauté on a medium flame for 1 minute.
2690,1880,2,"Add the kabuli chana, bread, besan, oats, chilli powder, salt and pepper, mix well and sauté on a medium flame for 2 to 3 minutes. Keep aside to cool."
2691,1880,3,Add 2 tbsp of water and blend in a mixer to a coarse mixture.
2692,1880,4,"Transfer the mixture into a bowl, divide it into 4 equal portions and shape each portion into a circle of 75 mm. (3”) diameter and 1 cm thickness."
2693,1880,5,Dip each cutlet in the maida mixture and roll in the bread crumbs till it is evenly coated from all the sides.
2694,1880,6,Heat the oil in a kadhai and deep-fry each cutlet till it turns golden brown in colour from both the sides. Drain on absorbent paper and keep aside.
2695,1881,1,You can cook 2 to 3 pankis at one time on a tava.
2696,1883,1,"Combine the capsicum and enough water in a deep non-stick pan and cook on a medium flame for 4 minutes, while stirring occasionally."
2697,1883,2,Drain well.
2698,1883,3,"Combine the capsicum, and milk in a mixer and blend till smooth. Keep aside."
2699,1883,4,"Heat the butter in a broad non-stick pan, add the plain flour and cook on a medium flame for a few seconds."
2700,1883,5,"Add the prepared capsicum-milk mixture, salt and pepper, mix well and cook on a medium flame for 1 to 2 minutes, while stirring continuously. Keep aside."
2701,1884,1,Arrange the canapé or tart cases on a serving plate.
2702,1884,2,Fill approx. 1 tbsp of the filling in each canapé or tart
2703,1884,3,Finally sprinkle 1 tsp of cheese evenly all over and a little hot and sweet sauce in the centre.
2704,1884,4,Serve immediately.
2705,1891,1,Place the whole wheat pizza bases on a greased baking tray.
2706,1891,2,Spread one portion of the corn pesto sauce on each pizza base.
2707,1891,3,Sprinkle a little cheese evenly over corn pesto sauce n each pizza base.
2708,1891,4,Bake in a pre-heated oven at 200°c (400°f) for 10 minutes or till the cheese has melted.
2709,1891,5,Serve hot garnished with red chilli flakes.
2710,1893,1,Heat the oil in a broad non-stick pan and add the mustard seeds.
2711,1893,2,"When the seeds crackle, add the sesame seeds and asafoetida and sauté for a few seconds."
2712,1893,3,Pour the batter evenly to make a thick layer.
2713,1893,4,Cover and cook on a slow flame for 7 to 8 minutes or till the base turns golden brown in colour and crisp.
2714,1893,5,Lift the handvo gently using 2 large flat spoons and turn it over to the other side.
2715,1893,6,Cover and cook on a slow flame for another 5 to 7 minutes or till it turns golden brown in colour.
2716,1893,7,Cut into wedges as shown in the image.
2717,1893,8,Serve immediately with coconut sauce.
2718,1900,1,"Heat the butter in a pan, add the red and yellow capsicum, chaat masala, mix well and  salt and sauté on a medium flame for 1 minute."
2719,1900,2,"Arrange a piece of yellow capsicum, tikki, and a piece of red capsicum on a toothpick."
2720,1900,3,Repeat step 2 to make 15 more satays.
2721,1900,4,Serve immediately.
2722,1901,1,Heat the butter and fry the onion for 1/2 minute. Add the green chillies and fry again for a few seconds.
2723,1901,2,Add the spinach and soda-bi-carb and cook for 2 minutes. Drain.
2724,1901,3,"Mix the milk with the flour, add to the mixture and cook until mixture becomes thick. Add salt."
2725,1902,1,"Place the cream cracker biscuits in a baking tray, spread 1 heaped tbsp of the topping evenly over each biscuit and sprinkle with ½ tsp of cheese."
2726,1902,2,Bake in a pre-heated oven at 200°c (400°f) for 2 minutes or till the cheese melts.
2727,1902,3,Serve hot.
2728,1905,1,Heat the ghee in a broad non-stick pan and add the cumin seeds.
2729,1905,2,"When the seeds crackle, add the green chillies and curry leaves and sauté on a medium flame for a few seconds."
2730,1905,3,"Add the coconut milk, prepared cornflour-water mixture and salt, mix well and cook on a medium flame for 1 to 2 minutes, while stirring continuously."
2731,1905,4,"Add the lemon juice and sugar, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally."
2732,1905,5,Add the coriander and mix well. Keep aside.
2733,1906,1,Crush the corn lightly.
2734,1906,2,"Mix the potatoes, vegetables, rice and corn.  Add the paste and salt and mix well."
2735,1906,3,"Heat 3 tablespoons of oil, add half the mustard seeds and fry until they begin to crackle.  Add half the sesame seeds and half the cahsewnuts and fry for a few seconds."
2736,1906,4,Add the vegetable mixture and mix well.
2737,1906,5,Arrange the tomato and capsicum slices at the bottom of a greased ring mould tin.
2738,1906,6,Fill the mould with the vegetable mixture.  Cover and bake in a hot oven at 200 degree C (400 degree F) for 15 minutes.
2739,1906,7,"When you want to serve, unmould the ring mould on a serving dish. "
2740,1906,8,"Heat the remaining oil, add the remaining mustard seeds and fry until they begin to crackle.  Add the asafoetida and the remaining sesame seeds and cashewnuts and fry for a few seconds.  Pour this mixture over the corn and vegetable ring."
2741,1908,1,"Heat the butter in a broad non-stick pan, add the zucchini and sauté on a medium flame for 2 minutes."
2742,1908,2,"Add the corn, coloured capsicum, , schezwan sauce, dried oregano, chilli flakes and salt and sauté on a medium flame for 2 minutes."
2743,1908,3,Add the white sauce and mix well.
2744,1913,1,"Heat the oil in a broad non-stick pan, add the onions and sauté on a medium flame till they turn translucent. Sprinkle a little water to avoid the onions from burning."
2745,1913,2,Add the capsicum and corn and sauté on a medium flame for another minute.
2746,1913,3,"Remove from the flame, add all the remaining ingredients and mix well."
2747,1913,4,Serve immediately topped with baked sev and lemon wedges.
2748,1916,1,Heat the butter in a deep non-stick pan on a slow flame and let it melt.
2749,1916,2,Add the plain flour.
2750,1916,3,"Stir and cook for half a minute, you will see the flour becomes frothy and whitish and the raw smell of the flour goes slowly."
2751,1916,4,"Gradually add the milk. After adding the milk allow to simmer and keep on stirring, ensure that it is smooth and there are no lumps."
2752,1916,5,"Keep on stirring and cooking till the mixture thickens and leaves the sides of the pan and becomes a nice smooth, thick lump."
2753,1916,6,The thick white sauce is ready. Transfer it in a plate.
2754,1917,1,"Heat the oil in a broad non-stick pan, add the garlic paste, green chilli paste and onions and sauté on a medium flame for 2 to 3 minutes."
2755,1917,2,Add the capsicum and sauté on a medium flame for 2 to 3 minutes.
2756,1917,3,"Add the tomatoes, vinegar, oregano and salt, mix well and cook on a medium flame for another 2 to 3 minutes, while stirring occasionally."
2757,1917,4,"Add the sugar and cumin seeds powder, mix well and cook on a medium flame for 1 minute, while stirring occasionally."
2758,1917,5,Cool slightly and blend in a mixer to a coarse mixture using 2 tbsp of water. Keep aside.
2759,1918,1,Arrange the corn chips in a plate.
2760,1918,2,"Just before serving, spread the salsa dip on top and sprinkle the chillies thereon."
2761,1918,3,Warm the cream and cheese together. Add a pinch of salt and spread over the corn chips.
2762,1918,4,Put under the grill for a few seconds.
2763,1918,5,Serve immediately.
2764,1920,1,"Just before serving, mash the salsa slightly to make it like a sauce."
2765,1920,2,Serve the chilled salsa surrounded with corn chips.
2766,1921,1,Combine all the ingredients together in a deep bowl and mash it slightly using the back of a spoon. Keep aside.
2767,1927,1,"Allow them to cool completely, and pack in an air-tight tiffin box, with green chutney in a separate air-tight box."
2768,1930,1,"Heat the oil in a broad non-stick pan, add the garlic and onions and sauté on a medium flame for 2 minutes."
2769,1930,2,Add the capsicum and sauté on a medium flame for 2 minutes.
2770,1930,3,Add the chilli flakes and corn and sauté on a medium flame for 1 minute.
2771,1930,4,"Add the white sauce and little salt, mix well and cook on a medium flame for 2 minutes, while stirring occasionally. Keep aside."
2772,1931,1,"Heat the butter in a broad non-stick pan, add the plain flour and cook on a slow flame for 1 minute, while stirring continuously."
2773,1931,2,"Gradually, add the milk and mix well. Cook on a medium flame till the milk starts boiling, while stirring continuously so that no lumps form."
2774,1931,3,"Remove from the flame, add the sweet corn, cheese, salt and pepper and mix well."
2775,1931,4,Cool slightly and divide the filling into 6 equal portions. Keep aside.
2776,1932,1,"Allow it to cool completely, and pack in an air-tight tiffin box."
2777,1933,1,Divide the corn fritter mixture into 20 equal portions and roll each portion into a round flat fritter.
2778,1933,2,Roll each fritter into the cornflour and breadcrumbs evenly.
2779,1933,3,"Heat the oil in a deep non-stick pan, deep-fry a few fritters at time till they turn golden brown in colour from all the sides. Drain on an absorbent paper."
2780,1933,4,Sprinkle little chaat masala evenly over each fritter and serve immediately with the curd dip.
2781,1935,1,"Heat the oil in a deep non-stick pan, add the cumin seeds and sauté on a medium flame for a few seconds."
2782,1935,2,"Add the onions, garlic paste and green chili paste and sauté on a medium flame for 2 minutes."
2783,1935,3,"Add the sweet corn, mix well and cook on a medium flame for 6 minutes, while stirring occasionally."
2784,1935,4,Add the chaat masala and coriander and mix well. Keep aside to cool completely.
2785,1935,5,"Once cooled, divide the mixture into 14 equal portions and keep aside."
2786,1939,1,"Combine the cornflour and 1½ cups of water in a deep bowl, mix well and keep aside."
2787,1939,2,"Heat the oil in a deep non-stick pan, add the garlic, green chillies and ginger and sauté on a medium flame for a few seconds."
2788,1939,3,Add the spring onion whites and greens and sauté on a medium flame for 1 minute.
2789,1939,4,"Add the cornflour-water mixture, soy sauce, sugar, chilli-garlic sauce and salt, mix well and cook on a medium flame for 4 minutes, while stirring occasionally. Keep aside."
2790,1940,1,"In a deep, clean bowl put the Corn. The corn is boiled first and then coarsely blended in mixer."
2791,1940,2,To this we will add the finely chopped methi. Methi not only gives freshness but is also very healthy!
2792,1940,3,Now add the potatoes. The potatoes are first boiled and then mashed thoroughly with the help of a masher.
2793,1940,4,Then add the finely chopped coriander for taste.
2794,1940,5,Add the ginger paste. This will give a nice earthy taste to the tikki.
2795,1940,6,Now add the jeera powder for taste.
2796,1940,7,Also add the chilli powder for a spicy taste.
2797,1940,8,"For the crispiness, we will add rice flour."
2798,1940,9,Also add cornflour for the binding.
2799,1940,10,Finally add some salt to taste. Mix well and combine all the ingredients together with your hands.
2800,1940,11,This will form a rough dough like mixture which will hold its shape when shaped into tikkis. 
2801,1940,12,Divide the mixture into 8 portions. Take one portion and shape it into a 50 mm. (2”) diameter round flat tikki using both your hands.
2802,1940,13,Do this for the remaining 7 portions as well. Keep aside.
2803,1940,14,Heat a non-stick tava (griddle) and grease it with 1/4 tsp oil.
2804,1940,15,"
	
		
	
	
		
			Once the oil gets hot, place the 8 corn methi tikkis on it and cook till the bottom side down turns golden brown.
	

"
2805,1940,16,"
	
		
	
	
		
			Brush the remaining oil over the other corn methi tikkis.
	

"
2806,1940,17,"
	
		
	
	
		
			Flip the corn methi tikkis with the help of a spatula and cook on the other side as well till golden brown in color. Cooking on both the sides will take about 10 minutes.
	

"
2807,1940,18,"
	
		
	
	
		
			Remove on a plate and serve corn methi kebab (corn methi tikki) immediately with a Healthy Green Chutney. 
"
2808,1943,1,"Arrange the biscuits on a serving plate, put a portion of the topping on each biscuit."
2809,1943,2,Serve immediately garnished with 1 tsp grated cheese and drops of tomato ketchup on each biscuit.
2810,1947,1,"Heat the oil in a non-stick pan, add the onion paste and sauté on a medium flame for 1 to 2 minutes."
2811,1947,2,Add the tomato pulp and sauté on a medium flame for few seconds.
2812,1947,3,"Add the turmeric powder, coriander-cumin seeds powder, garam masala,mix well and cook on a medium flame for 1 minute."
2813,1947,4,"Add the prepared spinach purée, mix well and cook on a medium flame for 1 more minute."
2814,1947,5,"Add the salt and milk, mix well and cook on a medium flame for 1 to 2 minutes."
2815,1947,6,"Add the sweet corn kernels, mix well and cook on a medium flame for 1 minute."
2816,1947,7,Serve hot with phulkas or parathas.
2817,1948,1,"¾ cup brown rice, when soaked for 2 hours and cooked yields 2 ¼ cups of cooked brown rice."
2818,1949,1,You can cook 3 to 4 pankis at one time on a tava.
2819,1951,1,"You can cook 3 to 4 pankis at one time on a tava. The leaf used should be old, and if the mixture is too watery, add besan."
2820,1952,1,You can cook 3 to 4 pankis at one time on a tava.
